Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Regulation Of Long-Term Synaptic Depression (GO:1900452)	2/2	0.002875624719213879	0.40992235900376406	0	0	Infinity	Infinity	MAPT;SHANK3
Positive Regulation Of Actin Filament Bundle Assembly (GO:0032233)	4/15	0.006834599225994678	0.40992235900376406	0	0	6.6158357771261	32.984952487838584	VIL1;CARMIL1;PXN;SYNPO
Regulation Of Long-Term Synaptic Potentiation (GO:1900271)	2/3	0.008323038603410502	0.40992235900376406	0	0	35.83157894736842	171.58768087714404	SHANK3;SQSTM1
Positive Regulation Of Actin Filament Depolymerization (GO:0030836)	2/3	0.008323038603410502	0.40992235900376406	0	0	35.83157894736842	171.58768087714404	VIL1;CARMIL1
Positive Regulation Of Long-Term Synaptic Potentiation (GO:1900273)	2/3	0.008323038603410502	0.40992235900376406	0	0	35.83157894736842	171.58768087714404	SHANK3;SQSTM1
Immune Response-Activating Cell Surface Receptor Signaling Pathway (GO:0002429)	2/3	0.008323038603410502	0.40992235900376406	0	0	35.83157894736842	171.58768087714404	C5AR1;BCAR1
Regulation Of Actin Nucleation (GO:0051125)	2/3	0.008323038603410502	0.40992235900376406	0	0	35.83157894736842	171.58768087714404	VIL1;CARMIL1
Regulation Of Cell Migration (GO:0030334)	8/56	0.008812602785746236	0.40992235900376406	0	0	3.099250936329588	14.664330337546891	VIL1;SPAG9;CARMIL1;DPYSL3;LMNA;BCAR1;ENG;MAP4K4
Stress Granule Assembly (GO:0034063)	3/9	0.0100525499557572	0.40992235900376406	0	0	9.02659574468085	41.52169908337026	ATXN2L;MAPT;LSM14A
Cellular Response To Growth Factor Stimulus (GO:0071363)	5/26	0.010915854422550903	0.40992235900376406	0	0	4.353002070393375	19.664856673965332	VIL1;HSPB1;MAPT;PTPN12;BCAR1
Positive Regulation Of Cell Motility (GO:2000147)	5/26	0.010915854422550903	0.40992235900376406	0	0	4.353002070393375	19.664856673965332	VIL1;SPAG9;CARMIL1;BCAR1;MAP4K4
Actin Filament Organization (GO:0007015)	6/37	0.012510250424336103	0.40992235900376406	0	0	3.5561857497341367	15.580385675181846	VIL1;CARMIL1;DPYSL3;GAS2;TAGLN2;BCAR1
Regulation Of Actin Filament Bundle Assembly (GO:0032231)	3/10	0.013805370588832619	0.40992235900376406	0	0	7.732522796352583	33.11605674010051	VIL1;SYNPO;SHANK3
L-amino Acid Transport (GO:0015807)	2/4	0.016062206644021124	0.40992235900376406	0	0	17.905263157894737	73.9717662316961	SLC47A1;SLC7A9
Regulation Of Lamellipodium Organization (GO:1902743)	2/4	0.016062206644021124	0.40992235900376406	0	0	17.905263157894737	73.9717662316961	VIL1;CARMIL1
Astrocyte Activation (GO:0048143)	2/4	0.016062206644021124	0.40992235900376406	0	0	17.905263157894737	73.9717662316961	C5AR1;MAPT
Peptide Metabolic Process (GO:0006518)	2/4	0.016062206644021124	0.40992235900376406	0	0	17.905263157894737	73.9717662316961	MME;APEH
Sensory Perception (GO:0007600)	2/4	0.016062206644021124	0.40992235900376406	0	0	17.905263157894737	73.9717662316961	MME;C5AR1
Modified Amino Acid Transport (GO:0072337)	2/4	0.016062206644021124	0.40992235900376406	0	0	17.905263157894737	73.9717662316961	SLC47A1;SLC7A9
Positive Regulation Of Epithelial Cell Migration (GO:0010634)	4/19	0.01643771911583337	0.40992235900376406	0	0	4.840143369175627	19.884163918136235	VIL1;RTN4;BCAR1;MAP4K4
Transforming Growth Factor Beta Receptor Signaling Pathway (GO:0007179)	3/11	0.018250055890882255	0.40992235900376406	0	0	6.761968085106383	27.072128442578336	PXN;ZYX;ENG
Positive Regulation Of Cell Migration (GO:0030335)	6/42	0.022711925145709713	0.40992235900376406	0	0	3.053113553113553	11.555623103332035	VIL1;SPAG9;CARMIL1;RTN4;BCAR1;MAP4K4
Non-Membrane-Bounded Organelle Assembly (GO:0140694)	4/21	0.023369169862877563	0.40992235900376406	0	0	4.265654648956357	16.023239170641368	ATXN2L;RBM14;MAPT;LSM14A
Amyloid-Beta Metabolic Process (GO:0050435)	2/5	0.025835290733022792	0.40992235900376406	0	0	11.929824561403509	43.61560398979914	MME;APEH
Astrocyte Development (GO:0014002)	2/5	0.025835290733022792	0.40992235900376406	0	0	11.929824561403509	43.61560398979914	C5AR1;MAPT
Superoxide Metabolic Process (GO:0006801)	2/5	0.025835290733022792	0.40992235900376406	0	0	11.929824561403509	43.61560398979914	NCF2;APOA4
Positive Regulation Of Lamellipodium Organization (GO:1902745)	2/5	0.025835290733022792	0.40992235900376406	0	0	11.929824561403509	43.61560398979914	VIL1;CARMIL1
mRNA Catabolic Process (GO:0006402)	2/5	0.025835290733022792	0.40992235900376406	0	0	11.929824561403509	43.61560398979914	THRAP3;DIS3L2
Microglial Cell Activation (GO:0001774)	2/5	0.025835290733022792	0.40992235900376406	0	0	11.929824561403509	43.61560398979914	C5AR1;MAPT
Amino Acid Transmembrane Transport (GO:0003333)	2/6	0.03740510865963343	0.40992235900376406	0	0	8.942105263157895	29.383292804329667	SLC47A1;SLC7A9
Cellular Defense Response (GO:0006968)	2/6	0.03740510865963343	0.40992235900376406	0	0	8.942105263157895	29.383292804329667	NCF2;C5AR1
Positive Regulation Of Synaptic Transmission (GO:0050806)	2/6	0.03740510865963343	0.40992235900376406	0	0	8.942105263157895	29.383292804329667	SHANK3;SQSTM1
Macrophage Activation (GO:0042116)	2/6	0.03740510865963343	0.40992235900376406	0	0	8.942105263157895	29.383292804329667	C5AR1;MAPT
Endomembrane System Organization (GO:0010256)	6/47	0.03744049172878299	0.40992235900376406	0	0	2.6727418922540873	8.77996378101072	NSFL1C;SEC23IP;CAV2;LMNA;SQSTM1;SPTBN1
Cellular Response To Reactive Oxygen Species (GO:0034614)	3/15	0.04304196063900518	0.40992235900376406	0	0	4.497340425531915	14.146743242535893	PXN;MAPT;SQSTM1
Response To Reactive Oxygen Species (GO:0000302)	3/15	0.04304196063900518	0.40992235900376406	0	0	4.497340425531915	14.146743242535893	PXN;MAPT;SQSTM1
Actin Crosslink Formation (GO:0051764)	2/7	0.050553692820178124	0.40992235900376406	0	0	7.149473684210526	21.33917197114781	DPYSL3;GAS2
Cellular Response To Epidermal Growth Factor Stimulus (GO:0071364)	2/7	0.050553692820178124	0.40992235900376406	0	0	7.149473684210526	21.33917197114781	VIL1;PTPN12
Positive Regulation Of Response To Stimulus (GO:0048584)	2/7	0.050553692820178124	0.40992235900376406	0	0	7.149473684210526	21.33917197114781	TRIM28;CDKN2AIP
Membrane Assembly (GO:0071709)	2/7	0.050553692820178124	0.40992235900376406	0	0	7.149473684210526	21.33917197114781	NSFL1C;SPTBN1
ERAD Pathway (GO:0036503)	3/16	0.05095750637636477	0.40992235900376406	0	0	4.148936170212766	12.350400518419049	SGTA;TRIM25;UBXN6
Positive Regulation Of Epithelial Cell Proliferation (GO:0050679)	3/16	0.05095750637636477	0.40992235900376406	0	0	4.148936170212766	12.350400518419049	C5AR1;SAAL1;RTN4
Transmembrane Receptor Protein Serine/Threonine Kinase Signaling Pathway (GO:0007178)	3/16	0.05095750637636477	0.40992235900376406	0	0	4.148936170212766	12.350400518419049	PXN;ZYX;ENG
Regulation Of Dendritic Spine Development (GO:0060998)	1/1	0.053888669666786966	0.40992235900376406	0	0	Infinity	Infinity	SHANK3
Regulation Of Epithelial To Mesenchymal Transition Involved In Endocardial Cushion Formation (GO:1905005)	1/1	0.053888669666786966	0.40992235900376406	0	0	Infinity	Infinity	ENG
Negative Regulation Of Membrane Potential (GO:0045837)	1/1	0.053888669666786966	0.40992235900376406	0	0	Infinity	Infinity	MAPT
Negative Regulation Of Mitochondrial Membrane Potential (GO:0010917)	1/1	0.053888669666786966	0.40992235900376406	0	0	Infinity	Infinity	MAPT
Regulation Of Glutamate Receptor Signaling Pathway (GO:1900449)	1/1	0.053888669666786966	0.40992235900376406	0	0	Infinity	Infinity	SHANK3
RIG-I Signaling Pathway (GO:0039529)	1/1	0.053888669666786966	0.40992235900376406	0	0	Infinity	Infinity	TRIM25
Regulation Of Intestinal Cholesterol Absorption (GO:0030300)	1/1	0.053888669666786966	0.40992235900376406	0	0	Infinity	Infinity	APOA4
Activation Of Phospholipase C Activity (GO:0007202)	1/1	0.053888669666786966	0.40992235900376406	0	0	Infinity	Infinity	C5AR1
Regulation Of Long-Term Neuronal Synaptic Plasticity (GO:0048169)	1/1	0.053888669666786966	0.40992235900376406	0	0	Infinity	Infinity	SHANK3
Atrial Cardiac Muscle Tissue Development (GO:0003228)	1/1	0.053888669666786966	0.40992235900376406	0	0	Infinity	Infinity	ENG
Autophagy Of Peroxisome (GO:0030242)	1/1	0.053888669666786966	0.40992235900376406	0	0	Infinity	Infinity	SQSTM1
Regulation Of Nuclear Division (GO:0051783)	1/1	0.053888669666786966	0.40992235900376406	0	0	Infinity	Infinity	CAV2
Regulation Of Oxidative Stress-Induced Intrinsic Apoptotic Signaling Pathway (GO:1902175)	1/1	0.053888669666786966	0.40992235900376406	0	0	Infinity	Infinity	HSPB1
Nuclear-Transcribed mRNA Catabolic Process, Exonucleolytic (GO:0000291)	1/1	0.053888669666786966	0.40992235900376406	0	0	Infinity	Infinity	DIS3L2
Bradykinin Catabolic Process (GO:0010815)	1/1	0.053888669666786966	0.40992235900376406	0	0	Infinity	Infinity	MME
Brain Morphogenesis (GO:0048854)	1/1	0.053888669666786966	0.40992235900376406	0	0	Infinity	Infinity	SHANK3
Cardiac Atrium Development (GO:0003230)	1/1	0.053888669666786966	0.40992235900376406	0	0	Infinity	Infinity	ENG
Regulation Of Protein Localization To Centrosome (GO:1904779)	1/1	0.053888669666786966	0.40992235900376406	0	0	Infinity	Infinity	NSFL1C
Peptide Catabolic Process (GO:0043171)	1/1	0.053888669666786966	0.40992235900376406	0	0	Infinity	Infinity	MME
Pexophagy (GO:0000425)	1/1	0.053888669666786966	0.40992235900376406	0	0	Infinity	Infinity	SQSTM1
Cellular Response To UV-A (GO:0071492)	1/1	0.053888669666786966	0.40992235900376406	0	0	Infinity	Infinity	MME
Phospholipid Efflux (GO:0033700)	1/1	0.053888669666786966	0.40992235900376406	0	0	Infinity	Infinity	APOA4
Cellular Response To Hepatocyte Growth Factor Stimulus (GO:0035729)	1/1	0.053888669666786966	0.40992235900376406	0	0	Infinity	Infinity	BCAR1
Plasma Membrane Raft Assembly (GO:0044854)	1/1	0.053888669666786966	0.40992235900376406	0	0	Infinity	Infinity	CAV2
Platelet-Derived Growth Factor Receptor Signaling Pathway (GO:0048008)	1/1	0.053888669666786966	0.40992235900376406	0	0	Infinity	Infinity	BCAR1
Regulation Of Toll-Like Receptor 9 Signaling Pathway (GO:0034163)	1/1	0.053888669666786966	0.40992235900376406	0	0	Infinity	Infinity	RTN4
Polyamine Transport (GO:0015846)	1/1	0.053888669666786966	0.40992235900376406	0	0	Infinity	Infinity	SLC47A1
